time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/std,train/approx_kl,train/clip_range,train/explained_variance
63,682,43008,234.46511627906978,1000.0,21,200,-7.118960568308831,1e-05,-0.0029531635882449336,17.721156044304372,0.003369140625,60.87726593017578,1.0049229860305786,0.0010322453,0.2,0.8654020875692368
66,682,45056,236.2277777777778,1000.0,22,210,-7.119273681938648,1e-05,-0.0025177937113767257,24.150309526920317,0.00224609375,0.9179187417030334,1.0049993991851807,0.0010225995,0.2,0.8308769464492798
69,682,47104,236.29787234042553,1000.0,23,220,-7.120432490110398,1e-05,-0.0018048030950012616,18.495569284260274,0.002783203125,59.15116882324219,1.0053166151046753,0.0015278764,0.2,0.8672653436660767
72,681,49152,237.07142857142858,1000.0,24,230,-7.122893166542053,1e-05,-0.002680539168068208,15.686568885296584,0.0037109375,25.798078536987305,1.0060348510742188,0.0017522635,0.2,0.8784469217061996
75,681,51200,238.16666666666666,1000.0,25,240,-7.12516579926014,1e-05,-0.003434722556266934,18.126451896876098,0.00322265625,3.4705007076263428,1.0062224864959717,0.001582196,0.2,0.8653006255626678
78,680,53248,238.47641509433961,1000.0,26,250,-7.1261670485138895,1e-05,-0.0017110915454395582,15.381347219645978,0.000537109375,3.0868518352508545,1.0064446926116943,0.0004984504,0.2,0.8634879738092422
81,680,55296,238.5590909090909,1000.0,27,260,-7.127929243445396,1e-05,-0.0011527079783263615,14.106584703177214,0.00166015625,3.473545551300049,1.0068752765655518,0.00067651225,0.2,0.8824838325381279
84,680,57344,239.58771929824562,1000.0,28,270,-7.129498337209225,1e-05,-0.004445380165270763,15.744083650410175,0.004736328125,3.068725824356079,1.0071604251861572,0.0024571887,0.2,0.8745887726545334
87,679,59392,240.4322033898305,1000.0,29,280,-7.129617641866207,1e-05,-0.0010845904849702491,13.628042654693127,0.00087890625,4.248345375061035,1.0069074630737305,0.00081291044,0.2,0.876895472407341
90,679,61440,240.8237704918033,1000.0,30,290,-7.130359230935573,1e-05,-0.0035671824021846986,15.981247690320014,0.005419921875,1.2751922607421875,1.007434606552124,0.0035754289,0.2,0.8570081293582916
93,679,63488,241.0952380952381,1000.0,31,300,-7.132519626617432,1e-05,-0.002437620220007375,19.608332861959934,0.00322265625,5.50429105758667,1.0077548027038574,0.0014942535,0.2,0.8298685550689697
96,679,65536,241.8230769230769,1000.0,32,310,-7.133771876990795,1e-05,-0.007989213197288337,16.745187178254128,0.013232421875,3.851583480834961,1.0079739093780518,0.0044294745,0.2,0.8305153399705887
